Destino Inicial,Destino Final,Data,Preço
ams,bhz,21,3.011
ams,bhz,22,2.422
ams,bhz,23,2.396
ams,bhz,24,3.007
ams,bhz,25,2.962
ams,bhz,26,3.485
ams,bhz,27,2.530
ams,bhz,28,3.370
ams,bhz,29,3.322
ams,bhz,30,3.090
ams,bhz,31,3.270
ams,lon,1,374
ams,lon,2,414
ams,lon,3,350
ams,lon,4,430
ams,lon,5,414
ams,lon,6,414
ams,lon,7,353
ams,lon,8,374
ams,lon,9,390
ams,lon,10,361
ams,lon,11,414
ams,lon,12,408
ams,lon,13,390
ams,lon,14,408
ams,lon,15,390
ams,lon,16,414
ams,lon,17,419
ams,lon,18,408
ams,lon,19,374
ams,lon,20,390
ams,lon,21,408
ams,lon,22,408
ams,lon,23,414
ams,lon,24,350
ams,lon,25,419
ams,lon,26,473
ams,lon,27,432
ams,lon,28,408
ams,lon,29,408
ams,lon,30,408
ams,lon,31,390
ams,mad,1,627
ams,mad,2,632
ams,mad,3,583
ams,mad,4,663
ams,mad,5,628
ams,mad,6,624
ams,mad,7,492
ams,mad,8,582
ams,mad,9,632
ams,mad,10,514
ams,mad,11,442
ams,mad,12,574
ams,mad,13,346
ams,mad,14,420
ams,mad,15,420
ams,mad,16,420
ams,mad,17,632
ams,mad,18,609
ams,mad,19,580
ams,mad,20,420
ams,mad,21,346
ams,mad,22,420
ams,mad,23,420
ams,mad,24,510
ams,mad,25,444
ams,mad,26,582
ams,mad,27,346
ams,mad,28,346
ams,mad,29,420
ams,mad,30,420
ams,mad,31,521
ams,par,1,106
ams,par,2,106
ams,par,3,106
ams,par,4,467
ams,par,5,521
ams,par,6,650
ams,par,7,467
ams,par,8,632
ams,par,9,467
ams,par,10,467
ams,par,11,467
ams,par,12,761
ams,par,13,650
ams,par,14,467
ams,par,15,603
ams,par,16,566
ams,par,17,467
ams,par,18,467
ams,par,19,603
ams,par,20,650
ams,par,21,647
ams,par,22,521
ams,par,23,467
ams,par,24,467
ams,par,25,467
ams,par,26,651
ams,par,27,650
ams,par,28,548
ams,par,29,553
ams,par,30,467
ams,par,31,548
ams,rom,1,749
ams,rom,2,675
ams,rom,3,669
ams,rom,4,686
ams,rom,5,702
ams,rom,6,588
ams,rom,7,505
ams,rom,8,675
ams,rom,9,675
ams,rom,10,645
ams,rom,11,566
ams,rom,12,675
ams,rom,13,510
ams,rom,14,420
ams,rom,15,420
ams,rom,16,911
ams,rom,17,510
ams,rom,18,562
ams,rom,19,669
ams,rom,20,510
ams,rom,21,420
ams,rom,22,420
ams,rom,23,510
ams,rom,24,510
ams,rom,25,531
ams,rom,26,690
ams,rom,27,420
ams,rom,28,420
ams,rom,29,420
ams,rom,30,705
ams,rom,31,510
bhz,ams,1,3.032
bhz,ams,2,3.442
bhz,ams,3,3.615
bhz,ams,4,3.502
bhz,ams,5,3.289
bhz,lon,1,2.704
bhz,lon,2,2.609
bhz,lon,3,2.603
bhz,lon,4,2.714
bhz,lon,5,2.720
bhz,mad,1,3.056
bhz,mad,2,2.869
bhz,mad,3,3.107
bhz,mad,4,3.082
bhz,mad,5,2.869
bhz,par,1,3.059
bhz,par,2,2.444
bhz,par,3,2.651
bhz,par,4,2.577
bhz,par,5,2.989
bhz,rom,1,3.141
bhz,rom,2,3.171
bhz,rom,3,3.462
bhz,rom,4,3.433
bhz,rom,5,3.196
lon,ams,1,247
lon,ams,2,246
lon,ams,3,358
lon,ams,4,345
lon,ams,5,333
lon,ams,6,234
lon,ams,7,241
lon,ams,8,195
lon,ams,9,241
lon,ams,10,299
lon,ams,11,247
lon,ams,12,247
lon,ams,13,215
lon,ams,14,241
lon,ams,15,246
lon,ams,16,241
lon,ams,17,221
lon,ams,18,247
lon,ams,19,273
lon,ams,20,254
lon,ams,21,246
lon,ams,22,195
lon,ams,23,247
lon,ams,24,319
lon,ams,25,286
lon,ams,26,267
lon,ams,27,267
lon,ams,28,258
lon,ams,29,228
lon,ams,30,241
lon,ams,31,267
lon,bhz,21,3.119
lon,bhz,22,3.018
lon,bhz,23,2.845
lon,bhz,24,3.249
lon,bhz,25,3.119
lon,bhz,26,3.748
lon,bhz,27,3.368
lon,bhz,28,3.249
lon,bhz,29,3.119
lon,bhz,30,3.679
lon,bhz,31,3.766
lon,mad,1,268
lon,mad,2,355
lon,mad,3,524
lon,mad,4,475
lon,mad,5,587
lon,mad,6,366
lon,mad,7,266
lon,mad,8,266
lon,mad,9,272
lon,mad,10,355
lon,mad,11,254
lon,mad,12,286
lon,mad,13,267
lon,mad,14,266
lon,mad,15,267
lon,mad,16,272
lon,mad,17,412
lon,mad,18,266
lon,mad,19,299
lon,mad,20,299
lon,mad,21,266
lon,mad,22,266
lon,mad,23,412
lon,mad,24,634
lon,mad,25,633
lon,mad,26,624
lon,mad,27,438
lon,mad,28,266
lon,mad,29,319
lon,mad,30,273
lon,mad,31,353
lon,par,1,175
lon,par,2,218
lon,par,3,332
lon,par,4,212
lon,par,5,221
lon,par,6,228
lon,par,7,212
lon,par,8,195
lon,par,9,174
lon,par,10,212
lon,par,11,212
lon,par,12,250
lon,par,13,250
lon,par,14,241
lon,par,15,174
lon,par,16,174
lon,par,17,328
lon,par,18,239
lon,par,19,753
lon,par,20,766
lon,par,21,340
lon,par,22,218
lon,par,23,218
lon,par,24,281
lon,par,25,186
lon,par,26,218
lon,par,27,250
lon,par,28,454
lon,par,29,250
lon,par,30,255
lon,par,31,218
lon,rom,1,338
lon,rom,2,388
lon,rom,3,508
lon,rom,4,383
lon,rom,5,410
lon,rom,6,280
lon,rom,7,312
lon,rom,8,299
lon,rom,9,410
lon,rom,10,327
lon,rom,11,241
lon,rom,12,312
lon,rom,13,185
lon,rom,14,216
lon,rom,15,185
lon,rom,16,352
lon,rom,17,241
lon,rom,18,297
lon,rom,19,312
lon,rom,20,327
